Input,output4 4 8 8 7 ,78826
1 7 4 7 2 ,27622
6 3 2 1 2 ,21236
5 1 6 2 3 ,32626
2 3 6 4 8 ,86243
6 2 6 7 1 ,17266
8 3 2 8 5 ,58232
5 6 7 1 8 ,81622
4 3 8 4 5 ,58475
6 6 1 1 6 ,61622
1 3 1 7 4 ,74516
7 7 7 6 4 ,46726
5 2 8 3 7 ,73282
6 8 3 1 6 ,61323
4 7 6 6 1 ,16626
8 4 8 8 1 ,18823
6 3 7 4 6 ,63187
6 6 3 3 6 ,63636
1 5 2 6 2 ,26223
5 4 7 4 5 ,54765
2 1 4 4 8 ,84123
1 5 2 4 1 ,12586
6 5 7 5 7 ,75636
4 2 2 8 7 ,78222
7 6 8 4 3 ,38467
6 4 4 6 5 ,56612
2 1 4 7 7 ,77216
1 4 7 4 1 ,14316
3 5 2 5 8 ,85232
3 4 7 7 4 ,74443
8 7 8 6 6 ,66826
7 8 7 8 6 ,68316
8 3 8 6 5 ,56836
6 4 5 4 1 ,15648
1 8 3 2 8 ,82328
8 1 4 1 4 ,41821
6 4 5 8 3 ,38562
3 2 1 3 2 ,23225
1 8 3 2 3 ,32326
2 7 8 5 4 ,57848
2 6 1 5 8 ,85126
2 6 3 4 8 ,83186
4 3 6 6 3 ,36636
6 1 3 1 5 ,51623
2 1 6 7 7 ,77622
5 3 7 7 6 ,67326
7 1 6 3 7 ,73626
6 7 7 7 3 ,3767
6 1 3 3 8 ,83326
5 4 5 6 1 ,16565
6 4 8 5 8 ,85862
2 4 4 1 8 ,8128
7 5 1 2 8 ,8212
3 1 1 6 5 ,56162
7 3 7 1 4 ,41326
5 6 1 3 1 ,13166
7 7 2 3 3 ,33267
8 4 7 2 8 ,82762
8 4 6 6 2 ,26686
2 1 1 6 7 ,76212
3 5 5 7 4 ,75484
5 4 4 2 1 ,12561
5 6 1 1 3 ,31625
7 2 8 3 5 ,53826
7 3 1 3 6 ,63262
2 1 3 8 5 ,58322
6 4 2 4 2 ,28176
2 4 4 4 7 ,74258
7 1 8 3 4 ,3148
2 8 4 3 2 ,23816
6 8 4 7 3 ,37628
8 6 6 6 1 ,16662
3 2 3 1 2 ,21322
2 1 8 7 3 ,378622
6 4 5 7 8 ,87566
8 3 5 7 8 ,88326
1 1 4 4 3 ,34162
1 5 3 3 3 ,33332
3 6 1 7 7 ,77266
4 4 3 4 4 ,4348
6 1 4 2 7 ,72612
2 1 1 1 5 ,51122
3 1 3 3 5 ,53362
4 6 3 1 7 ,72658
3 8 7 3 3 ,33628
5 2 6 6 5 ,56623
2 3 2 6 4 ,86177
2 1 7 5 6 ,62538
6 1 6 5 6 ,65662
4 3 4 2 3 ,32635
4 6 6 5 3 ,35666
4 6 5 8 1 ,18566
6 8 4 3 1 ,13865
8 5 8 4 7 ,7851
7 6 6 8 1 ,1866
8 6 2 3 2 ,23262
7 5 3 4 6 ,6315
7 5 8 2 1 ,1282
7 4 4 6 7 ,76265
5 3 3 6 8 ,86336
